id,name_x,name_y
153394,Suzanne_Collins,
363130,Ben_Aaronovitch,
21911,Melissa_de_la_Cruz,
13663,Kate_DiCamillo,
169377,Seth_Grahame_Smith,
6412,Robert_C_O_Brien,
2493,Lois_Lowry,
20248,J_R_Ward,Jessica_Bird
426944,T_H_White,Terence_H_White
11139,Mary_Wollstonecraft_Shelley,
589,Orson_Scott_Card,
348878,James_Dashner,
76360,Matt_Haig,
176372,Madeline_Miller,
3565,Oscar_Wilde,
2987125,Kiera_Cass,
2905297,Lauren_Kate,
2895706,Kami_Garcia,
1630,Ray_Bradbury,
17015,P_C_Cast,Phyllis_C_Cast
36746,Lemony_Snicket,
29535,Octavia_E_Butler,
3380908,Pittacus_Lore,
6914204,Robin_LaFevers,
1330292,Maggie_Stiefvater,
6474348,Pierce_Brown,
3354,Haruki_Murakami,
13450,Gabriel_Garc_a_M_rquez,
4,Douglas_Adams,
3290920,Cynthia_Hand,
370361,Patrick_Ness,
11664,David_Levithan,
4637539,Tahereh_Mafi,
4823432,Eowyn_Ivey,
1304470,Ally_Condie,
45315,Justin_Cronin,
2687,Dan_Simmons,
5223,Franz_Kafka,
4088550,Silvia_Moreno_Garcia,
6872556,P_L_Travers,Pamela_L_Travers
2876763,Becca_Fitzpatrick,
3843,Kenneth_Grahame,
1599723,Michael_Grant,
5073330,T_J_Klune,Travis_J_Klune
17999118,Shelby_Mahurin,
48206,Karen_Marie_Moning,
2995873,Julie_Kagawa,
2960227,Robin_Sloan,
38569,Andrzej_Sapkowski,
4684322,Marissa_Meyer,
1238111,Marie_Rutkoski,
4086715,Kendare_Blake,
79589,Alex_Flinn,
815,Carlos_Ruiz_Zaf_n,
6540057,Andy_Weir,
16667,Isaac_Asimov,
3487,Aldous_Huxley,
31712,Ernest_Cline,
2778055,Kurt_Vonnegut_Jr_,
4763,John_Scalzi,
11072,Daniel_Keyes,
4764,Philip_K_Dick,
12476,Joe_Haldeman,
7779,Arthur_C_Clarke,
205,Robert_A_Heinlein,
5194,Michael_Crichton,
9226,William_Gibson,
545,Neal_Stephenson,
696805,Jules_Verne,
5735,Anthony_Burgess,
4178,Cormac_McCarthy,
3961,Alan_Moore,
26,Anne_McCaffrey,
10538,Carl_Sagan,
4432,Jasper_Fforde,
3064305,Hugh_Howey,
2786093,Emily_St_John_Mandel,
8726,Richard_Matheson,
4192148,James_S_A_Corey,
19564,Neal_Shusterman,
442240,Blake_Crouch,
2347,Jeanne_DuPrau,
4342215,Marie_Lu,
1285555,Jos_Saramago,
854076,Robert_Louis_Stevenson,
1362939,Bruce_Campbell,
70762,Hugh_Lofting,
3001246,Yoon_Ha_Lee,
16319,Suetonius,
2290725,Jeff_Sutherland,
77098,Raymond_Briggs,
17350,Andrea_Camilleri,
6906496,Brandon_Stanton,
6172406,Charles_Graeber,
64039,Paul_O_Zelinsky,
17623,D_H_Lawrence,David_H_Lawrence
12447,Arnold_Lobel,
36070,Donald_Crews,
13787449,Olivia_Dade,
12589696,Laura_Barnett,
3510823,Walt_Disney_Company,
1169504,A_S_Byatt,Antonia_S_Byatt
2131,Mem_Fox,
2802356,Herg_,
18444,Paul_Galdone,
1413437,Elizabeth_Gaskell,
7419,John_Galsworthy,
314443,Rosalie_Ham,
7757102,_douard_Louis,
2147,Ivo_Andri_,
9399,Jeanette_Winterson,
12806,Hannah_Arendt,
91236,Maggie_O_Farrell,
3989,V_S_Naipaul,Vidiadhar_S_Naipaul
20838,Jane_Gardam,
8170,William_Boyd,
3222,Penelope_Fitzgerald,
2003542,Marguerite_de_Angeli,
18704,Charles_Wheelan,
1218,Jon_Ronson,
4610,John_Sandford,
29837,Moli_re,
12577,Douglas_Preston,
15686,Jean_Racine,
2622328,Maria_Augusta_von_Trapp,
5152,Vladimir_Nabokov,
41616,Friedrich_D_rrenmatt,
7849,Richard_Ford,
131,Charles_Todd,
5209,Annie_Dillard,
7825,Ruth_Ozeki,
6251,Julie_Garwood,
9291,David_Baldacci,
51204,Alastair_Reynolds,
9657,Richard_Wright,
12772,Warren_Ellis,
19405,Thomas_Mann,
107761,Eric_Wilson,
33794,Jenny_Offill,
53,Heidi_Murkoff,
445303,Maria_V_Snyder,
6476625,Kylie_Scott,
9212,Jennifer_Weiner,
3034502,Douglas_R_Hofstadter,
8734,Dorothy_L_Sayers,
4103366,Lauren_DeStefano,
3058,Augusten_Burroughs,
8546820,Emily_Bleeker,
47672,Trenton_Lee_Stewart,
88301,Elin_Hilderbrand,
65189,Louise_Rennison,
14126306,Matthew_FitzSimmons,
713,Lisa_See,
1791,Seth_Godin,
4279785,Wendy_Higgins,
93970,Sara_Shepard,
247642,Charles_Belfoure,
18282,Lisa_Gardner,
5410816,Tarryn_Fisher,
1483,Joseph_J_Ellis,
153734,Ellen_Schreiber,
57239,Alyson_Richman,
4971535,Kristen_Callihan,
4464118,Jamie_McGuire,
3162181,_,
3368,Audrey_Wood,
38954,Shaun_Tan,
2830569,Karuho_Shiina,
2088,Kimon_Nicolaides,
53259,Stella_Gibbons,
25334,Sarah_Waters,
31428,Kiran_Desai,
1238,Nelson_DeMille,
125308,Cinda_Williams_Chima,
3036304,Caragh_M_O_Brien,
3222554,Jonas_Jonasson,
6459302,J_Kenner,Julie_Kenner
3892,Tom_Clancy,
7097332,Emerson_Eggerichs,
9585077,Sejal_Badani,
149883,Andrew_Davidson,
20105,Joseph_Campbell,
17216,Peter_Lerangis,
699143,J_Lynn,Jennifer_Lynn
84719,Robert_Lopshire,
4258,Lawrence_Wright,
575,Robert_Harris,
